Model,Type,MAE,MSE,RMSE,R²,Adjusted R²,MAPE
Model 3,Total,0.027862781841043262,0.00159609471404814,0.039951154101579345,0.20228956369547269,0.20219345400435174,105.65512076859716
Model 3,SH,0.016340488146392433,0.00043746619397517887,0.02091569252917959,0.7869234717783695,0.7868121465285149,31.84434845454126
Model 3,DWH,0.016346700971064488,0.00044559575826709524,0.021109139211893394,0.782963807330848,0.782850413290791,30.922727814962887
Model 1,Total,0.03554351662935541,0.0023784205084188383,0.04876905277344269,-0.18918230591985874,-0.1893254084837479,202.88996171632334
Model 1,SH,0.03818465892220673,0.003149016412881528,0.05611609762698693,-0.5744712030503938,-0.5746606701025057,112.88893403803952
Model 1,DWH,0.038176984711729846,0.003144392732549904,0.056074885042681134,-0.5721594172164193,-0.57234860607529,114.35036289764473
Model 2,Total,6.481212409343088e-19,9.077370458123788e-36,3.0128674810093767e-18,1.0,1.0,3.629231468029242e-15
Model 2,SH,0.017534474840401784,0.00030998251412783296,0.01760632028925502,0.8450123854715531,0.8449937347357495,127.1145636249029
Model 2,DWH,0.038176984711729846,0.003144392732549904,0.056074885042681134,-0.5721594172164193,-0.57234860607529,114.35036289764473
